stop_id,agency,name,lat,lon,coord_source,stop_type,interchange_group_id,route_codes,sources,scraped_at
municipal_bus-4559,municipal_bus,Tajpur Cross Road,22.896718,72.483361,municipal_bus_api,MUNICIPAL_BUS,,"[""31/4-VK-U"",""31/4-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1831,municipal_bus,Takshashila Vidyalay (Sahyog Vidyalay),23.011115,72.650913,municipal_bus_api,MUNICIPAL_BUS,,"[""144/1-U"",""147/1-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-9021,municipal_bus,Takshshila,23.04742,72.4995,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5785,municipal_bus,Takshshila Bunglows,23.0289,72.673997,municipal_bus_api,MUNICIPAL_BUS,,"[""SP1-AN-U"",""SP1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8879,municipal_bus,Takshshila Hebitet,23.012558,72.667467,municipal_bus_api,MUNICIPAL_BUS,ix-0503,"[""49-D"",""49-SA-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8490,municipal_bus,Talavdi (Bakrol),22.932109,72.495798,municipal_bus_api,MUNICIPAL_BUS,,"[""31/4-VK-U"",""31/4-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2553,municipal_bus,Talavdi (Lalpur Cross Road),23.038416,72.747175,municipal_bus_api,MUNICIPAL_BUS,,"[""143sh-D"",""143-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3604,municipal_bus,Talavdi (Lambha),22.939295,72.578968,municipal_bus_api,MUNICIPAL_BUS,ix-0504,"[""130sh-D"",""22-D"",""22-IL-D"",""23-D"",""28-D"",""28sh-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2305,municipal_bus,Talavdi (Ramol),22.987618,72.646907,municipal_bus_api,MUNICIPAL_BUS,,"[""152/1-GR-D"",""22/1-DL-D"",""89/2-D"",""89/2-RK-D"",""152-D"",""152Sh-D"",""152/1-GK-D"",""152/1-GKm-D"",""152/1-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2341,municipal_bus,Talavdi (Sadarnagar),23.082792,72.619821,municipal_bus_api,MUNICIPAL_BUS,,"[""16-CS-D"",""16-D"",""16-SM-D"",""22sh-BL-D"",""101sh-D"",""105-D"",""107-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2997,municipal_bus,Talavdi (Thaltej),23.050153,72.50721,municipal_bus_api,MUNICIPAL_BUS,ix-0586,"[""51Ri-T-U"",""51Ri-U"",""51sh-LS-U"",""51sh-U"",""51T-KT-U"",""51T-U"",""66/1-U"",""66/1-US-U"",""205-D"",""Metro4-D"",""Metro7-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-9344,municipal_bus,Tapi Apartment,23.06537,72.676674,municipal_bus_api,MUNICIPAL_BUS,,"[""70-U"",""106-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5835,municipal_bus,Tapovan Circle (S.P.Ring Road),23.118655,72.61492,municipal_bus_api,MUNICIPAL_BUS,,"[""SP1sh-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2492,municipal_bus,Tapovan Society,23.03928,72.621101,municipal_bus_api,MUNICIPAL_BUS,,"[""135-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-5761,municipal_bus,Tapsvi Farm,22.965345,72.659832,municipal_bus_api,MUNICIPAL_BUS,,"[""SP1-AN-U"",""SP1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8159,municipal_bus,Tarsaniya Gam,,,,MUNICIPAL_BUS,,"[""40-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1368,municipal_bus,Tata Genuine Parts,22.987166,72.487231,municipal_bus_api,MUNICIPAL_BUS,,"[""31/5-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4455,municipal_bus,Tata Motors (Bacha Motors),22.992293,72.535675,municipal_bus_api,MUNICIPAL_BUS,,"[""30/2-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1244,municipal_bus,Tatanagar,23.053776,72.616618,municipal_bus_api,MUNICIPAL_BUS,ix-0505,"[""17-U"",""31-SM-U"",""31-U"",""38/1-U"",""112-LM-U"",""112-U"",""200-U"",""200-VM-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-7230,municipal_bus,Tatva Beverage,23.175323,72.736508,municipal_bus_api,MUNICIPAL_BUS,,"[""125/1-ND-U"",""125/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8551,municipal_bus,Tefno Company,23.021607,72.756595,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3289,municipal_bus,Tejas Rise Mills,22.877408,72.593298,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2251,municipal_bus,Tejas Society,23.073198,72.55337,municipal_bus_api,MUNICIPAL_BUS,,"[""52-D"",""204-U"",""800-U"",""137/1-D"",""137/1-GV-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4631,municipal_bus,Tejash School,23.033743,72.463809,municipal_bus_api,MUNICIPAL_BUS,ix-0370,"[""44/4-U"",""60sh-U""]","[""municipal_bus_api"",""osm""]",2026-06-29T18:14:59+00:00
municipal_bus-4330,municipal_bus,Tejendranagar,23.030063,72.646136,municipal_bus_api,MUNICIPAL_BUS,,"[""136-SN-D"",""33-LS-U"",""33-U"",""69-D"",""69-KSP(O)-D"",""69sh-D"",""69sh-KSP(O)-D"",""89/1-D"",""124-U"",""136-SMp-D"",""136-D"",""136-GM-D"",""136-SM-D"",""136sh-D"",""137M-D"",""137M-KM-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3558,municipal_bus,Tejendranagar Society,23.112298,72.563827,municipal_bus_api,MUNICIPAL_BUS,,"[""89/2-D"",""89/2-JT-D"",""89/2-KT-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1378,municipal_bus,Telav Gam,22.984518,72.434158,municipal_bus_api,MUNICIPAL_BUS,,"[""31/5-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1377,municipal_bus,Telav-Shela Cross Road,22.984383,72.435678,municipal_bus_api,MUNICIPAL_BUS,,"[""31/5-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2347,municipal_bus,Telephone Exchange (A.C.B.Office),23.063665,72.598901,municipal_bus_api,MUNICIPAL_BUS,,"[""16-CS-D"",""16-D"",""16-SM-D"",""22sh-BL-D"",""101sh-D"",""105-D"",""107-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3707,municipal_bus,Telephone Exchange (Cg Road),23.030508,72.559121,municipal_bus_api,MUNICIPAL_BUS,,"[""204-U"",""136-D"",""136-GM-D"",""136-GSa-D"",""136-SM-D"",""136-SS-D"",""136sh-D"",""SF2-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-3641,municipal_bus,Telephone Exchange (Naroda),23.081601,72.658936,municipal_bus_api,MUNICIPAL_BUS,ix-0506,"[""130sh-D"",""128-NaN-U"",""128-MN-U"",""128-SNr-U"",""128-U"",""130sh-M-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4123,municipal_bus,Telephone Exchange (Vasna),23.002708,72.551028,municipal_bus_api,MUNICIPAL_BUS,,[],"[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
