agency,from_stop_id,to_stop_id,median_minutes,sample_count
brt,brt-406,brt-404,3.0,1
brt,brt-404,brt-1,4.2,1
brt,brt-303,brt-372,2.3,2
brt,brt-372,brt-370,2.2,2
brt,brt-370,brt-352,2.8,2
brt,brt-352,brt-354,2.2,2
brt,brt-354,brt-356,1.4,2
brt,brt-291,brt-303,4.2,1
municipal_bus,municipal_bus-3758,municipal_bus-3780,2.5,5
municipal_bus,municipal_bus-3780,municipal_bus-3756,2.2,7
municipal_bus,municipal_bus-3756,municipal_bus-3782,2.1,7
municipal_bus,municipal_bus-3782,municipal_bus-3754,1.8,7
municipal_bus,municipal_bus-3754,municipal_bus-3753,1.8,7
municipal_bus,municipal_bus-3753,municipal_bus-3785,5.2,7
municipal_bus,municipal_bus-3785,municipal_bus-3751,3.0,10
municipal_bus,municipal_bus-3751,municipal_bus-2823,2.1,10
municipal_bus,municipal_bus-2823,municipal_bus-2824,2.4,14
municipal_bus,municipal_bus-2824,municipal_bus-2853,3.9,11
municipal_bus,municipal_bus-2853,municipal_bus-2854,2.3,14
municipal_bus,municipal_bus-2854,municipal_bus-2855,2.0,10
municipal_bus,municipal_bus-2855,municipal_bus-2856,2.7,11
municipal_bus,municipal_bus-2856,municipal_bus-8908,1.5,9
municipal_bus,municipal_bus-8908,municipal_bus-2914,3.7,8
municipal_bus,municipal_bus-2914,municipal_bus-3789,1.9,9
municipal_bus,municipal_bus-3789,municipal_bus-2915,1.3,9
municipal_bus,municipal_bus-2915,municipal_bus-2916,2.3,11
municipal_bus,municipal_bus-2916,municipal_bus-2917,2.2,14
municipal_bus,municipal_bus-2917,municipal_bus-2918,1.7,14
municipal_bus,municipal_bus-2918,municipal_bus-2919,1.5,14
municipal_bus,municipal_bus-2919,municipal_bus-2920,2.3,14
municipal_bus,municipal_bus-2920,municipal_bus-2921,1.8,14
municipal_bus,municipal_bus-2921,municipal_bus-2858,1.5,11
municipal_bus,municipal_bus-2858,municipal_bus-2677,1.4,11
municipal_bus,municipal_bus-2677,municipal_bus-3699,2.3,9
municipal_bus,municipal_bus-3699,municipal_bus-2859,1.7,16
municipal_bus,municipal_bus-2859,municipal_bus-2860,1.8,18
municipal_bus,municipal_bus-2860,municipal_bus-2861,1.4,17
municipal_bus,municipal_bus-2861,municipal_bus-2862,2.0,17
municipal_bus,municipal_bus-2862,municipal_bus-2863,1.5,23
municipal_bus,municipal_bus-2863,municipal_bus-2110,1.4,57
municipal_bus,municipal_bus-2110,municipal_bus-2273,1.4,46
municipal_bus,municipal_bus-2273,municipal_bus-1153,3.7,46
municipal_bus,municipal_bus-1153,municipal_bus-1154,1.6,57
municipal_bus,municipal_bus-1154,municipal_bus-1155,1.8,58
municipal_bus,municipal_bus-1155,municipal_bus-1156,1.5,52
municipal_bus,municipal_bus-1156,municipal_bus-1120,2.0,16
municipal_bus,municipal_bus-1120,municipal_bus-1081,1.3,25
municipal_bus,municipal_bus-1081,municipal_bus-1123,2.6,3
municipal_bus,municipal_bus-1123,municipal_bus-1078,1.7,29
municipal_bus,municipal_bus-1078,municipal_bus-1125,2.5,3
municipal_bus,municipal_bus-1125,municipal_bus-1078,2.5,17
municipal_bus,municipal_bus-1078,municipal_bus-1079,1.8,33
municipal_bus,municipal_bus-1079,municipal_bus-1080,1.7,31
municipal_bus,municipal_bus-1080,municipal_bus-1081,1.5,31
municipal_bus,municipal_bus-1081,municipal_bus-2353,1.5,26
municipal_bus,municipal_bus-2353,municipal_bus-1208,1.9,18
municipal_bus,municipal_bus-1208,municipal_bus-1155,1.3,49
municipal_bus,municipal_bus-1155,municipal_bus-1210,1.7,55
municipal_bus,municipal_bus-1210,municipal_bus-1211,2.0,54
municipal_bus,municipal_bus-1211,municipal_bus-2030,3.5,45
municipal_bus,municipal_bus-2030,municipal_bus-2163,1.1,62
municipal_bus,municipal_bus-2163,municipal_bus-2888,2.2,17
municipal_bus,municipal_bus-2888,municipal_bus-2889,1.5,12
municipal_bus,municipal_bus-2889,municipal_bus-2890,1.8,16
municipal_bus,municipal_bus-2890,municipal_bus-2860,1.3,16
municipal_bus,municipal_bus-2860,municipal_bus-2892,1.9,16
municipal_bus,municipal_bus-2892,municipal_bus-2893,1.9,9
municipal_bus,municipal_bus-2893,municipal_bus-2894,1.9,14
municipal_bus,municipal_bus-2894,municipal_bus-2858,1.5,11
municipal_bus,municipal_bus-2858,municipal_bus-2962,1.6,11
municipal_bus,municipal_bus-2962,municipal_bus-2920,1.7,13
municipal_bus,municipal_bus-2920,municipal_bus-2919,2.3,13
municipal_bus,municipal_bus-2919,municipal_bus-2965,1.7,13
municipal_bus,municipal_bus-2965,municipal_bus-2917,1.5,13
municipal_bus,municipal_bus-2917,municipal_bus-2967,2.5,12
municipal_bus,municipal_bus-2967,municipal_bus-2968,2.1,12
municipal_bus,municipal_bus-2968,municipal_bus-2969,1.4,12
municipal_bus,municipal_bus-2969,municipal_bus-2970,1.8,10
municipal_bus,municipal_bus-2970,municipal_bus-8908,3.7,8
municipal_bus,municipal_bus-8908,municipal_bus-2897,1.6,9
municipal_bus,municipal_bus-2897,municipal_bus-2855,2.6,11
municipal_bus,municipal_bus-2855,municipal_bus-2854,2.0,10
municipal_bus,municipal_bus-2854,municipal_bus-2899,2.6,13
municipal_bus,municipal_bus-2899,municipal_bus-2900,3.6,10
municipal_bus,municipal_bus-2900,municipal_bus-2901,2.6,13
municipal_bus,municipal_bus-2901,municipal_bus-3751,2.1,10
municipal_bus,municipal_bus-3751,municipal_bus-3752,3.0,10
municipal_bus,municipal_bus-3752,municipal_bus-3753,5.1,7
municipal_bus,municipal_bus-3753,municipal_bus-3754,1.8,7
municipal_bus,municipal_bus-3754,municipal_bus-3755,1.6,7
municipal_bus,municipal_bus-3755,municipal_bus-3756,2.2,7
municipal_bus,municipal_bus-3756,municipal_bus-3757,2.1,7
municipal_bus,municipal_bus-3757,municipal_bus-3758,2.6,5
municipal_bus,municipal_bus-3758,municipal_bus-3759,0.9,4
municipal_bus,municipal_bus-3759,municipal_bus-3760,3.4,4
municipal_bus,municipal_bus-3760,municipal_bus-3762,3.1,1
municipal_bus,municipal_bus-3762,municipal_bus-3763,2.1,4
municipal_bus,municipal_bus-3763,municipal_bus-3764,1.7,4
municipal_bus,municipal_bus-3764,municipal_bus-3767,8.1,1
municipal_bus,municipal_bus-3767,municipal_bus-4705,2.8,2
municipal_bus,municipal_bus-4705,municipal_bus-2764,1.8,2
municipal_bus,municipal_bus-5529,municipal_bus-3780,2.4,2
municipal_bus,municipal_bus-1081,municipal_bus-1080,1.5,26
municipal_bus,municipal_bus-1080,municipal_bus-1123,1.8,26
municipal_bus,municipal_bus-1078,municipal_bus-1077,2.3,4
municipal_bus,municipal_bus-2107,municipal_bus-1984,1.7,8
municipal_bus,municipal_bus-1984,municipal_bus-2034,1.3,41
municipal_bus,municipal_bus-2034,municipal_bus-2035,1.4,41
municipal_bus,municipal_bus-2035,municipal_bus-3694,2.3,9
municipal_bus,municipal_bus-3694,municipal_bus-7857,1.6,7
municipal_bus,municipal_bus-7857,municipal_bus-2682,1.4,7
municipal_bus,municipal_bus-2682,municipal_bus-3696,1.9,6
municipal_bus,municipal_bus-3696,municipal_bus-3697,1.7,6
municipal_bus,municipal_bus-3697,municipal_bus-2679,1.7,14
municipal_bus,municipal_bus-2679,municipal_bus-2893,1.6,4
municipal_bus,municipal_bus-2894,municipal_bus-2676,1.7,3
municipal_bus,municipal_bus-2676,municipal_bus-2923,1.7,6
municipal_bus,municipal_bus-2923,municipal_bus-2924,1.8,3
municipal_bus,municipal_bus-2924,municipal_bus-4953,1.6,2
municipal_bus,municipal_bus-4953,municipal_bus-4954,1.5,2
municipal_bus,municipal_bus-4954,municipal_bus-1221,2.2,2
municipal_bus,municipal_bus-1221,municipal_bus-1222,2.5,22
municipal_bus,municipal_bus-1222,municipal_bus-1402,2.4,14
municipal_bus,municipal_bus-1402,municipal_bus-1403,2.7,8
municipal_bus,municipal_bus-1403,municipal_bus-1404,1.2,5
municipal_bus,municipal_bus-1404,municipal_bus-2112,1.5,4
municipal_bus,municipal_bus-2112,municipal_bus-2027,1.6,5
municipal_bus,municipal_bus-2027,municipal_bus-2114,2.4,2
municipal_bus,municipal_bus-2114,municipal_bus-2926,1.9,1
municipal_bus,municipal_bus-2926,municipal_bus-2024,2.4,1
municipal_bus,municipal_bus-2024,municipal_bus-2023,1.8,5
municipal_bus,municipal_bus-2023,municipal_bus-2118,1.4,5
municipal_bus,municipal_bus-2118,municipal_bus-1578,2.1,3
municipal_bus,municipal_bus-1578,municipal_bus-1280,2.1,2
municipal_bus,municipal_bus-1280,municipal_bus-1281,1.3,5
municipal_bus,municipal_bus-1281,municipal_bus-1282,1.9,5
municipal_bus,municipal_bus-1282,municipal_bus-1283,2.5,12
municipal_bus,municipal_bus-1283,municipal_bus-1284,1.5,12
municipal_bus,municipal_bus-1284,municipal_bus-1285,1.7,6
municipal_bus,municipal_bus-1285,municipal_bus-1286,2.1,6
municipal_bus,municipal_bus-1286,municipal_bus-1287,2.1,36
municipal_bus,municipal_bus-1287,municipal_bus-2933,1.6,5
