id,name
33483015,Gujarat Housing Board stop
477120,Hiraba Farm stop
458024,Hiranandani Tower stop
457921,Hotel Mina Plaza stop
458025,Hiranandani Tower stop
457922,Hotel Mina Plaza stop
466979,Iffco Township stop
477119,Hudco Awas stop
466978,Iffco Township stop
458001,J.N.S School stop
458002,J.N.S School stop
477118,Hudco Awas stop
457877,Jain Aradhana Kendra stop
457878,Jain Aradhana Kendra stop
457995,Janadhaar Housing Society stop
46422946,Jaspur Cross Road stop
457994,Janadhaar Housing Society stop
33483693,Jaspur Cross Road stop
33481571,Jantanagar BRTS stop
457924,Jay Bholenath Bungalows stop
457923,Jay Bholenath Bungalows stop
46422947,Jaspur Cross Road stop
45136012,Jethipura stop
477127,Jogni Matanu Mandir stop
45136013,Jethipura stop
477126,Jogni Matanu Mandir stop
46434916,Kadi Nagarik Sahakari Bank stop
45352571,Kailash Kunj Bunglows stop
457948,Juna Koba station
46434915,Kadi Nagarik Sahakari Bank stop
45352579,Kailash Rejoice stop
45352572,Kailash Kunj Bunglows stop
46428867,Kalol-Mehsana Cross Road stop
46428868,Kalol-Mehsana Cross Road stop
45352580,Kailash Rejoice stop
33481756,Kalpataru Park Flats stop
33481757,Kalpataru Park Flats stop
45352587,Kanan Residency stop
45160754,Ashray Sarin stop
39862193,Kamalam stop
39862185,Kanoriya Hospital stop
39862186,Kanoriya Hospital stop
45352588,Kanan Residency stop
106244550,Karai Police Academy stop
106244551,Karai Police Academy stop
106244552,Karaigam Cross Road stop
46434928,Green Aura stop
39862187,Apollo Hospital stop
39862194,Kamalam stop
106244553,Karaigam Cross Road stop
45272895,Kendriya Vidyalaya Gandhinagar stop
45272894,Kendriya Vidyalaya Gandhinagar stop
45148432,Abad Nagar stop
45352581,Keshar Vatika stop
33483833,Abad Nagar stop
45160756,Keshav Apartment stop
45352582,Keshar Vatika stop
45160757,Keshav Apartment stop
33482130,Ahmedabad Institute Of Medical Science stop
33482133,Ahmedabad Institute Of Medical Science stop
108478036,Aekyarth stop
39830152,Ashok Vihar stop
33483744,Ajanta Ellora Apartment stop
39166142,Ambli Cross Road stop
33482023,Ambli Gam stop
39830153,Ashok Vihar stop
108478037,Aekyarth stop
33481563,Ambli Gam BRTS stop
39166143,Ambli Cross Road stop
108478028,Ananta Flats stop
45327785,Anand Vihar Flats stop
108478029,Ananta Flats stop
33483745,Ajanta Ellora Apartment stop
45327784,Anand Vihar Flats stop
33482701,Ambli Road Station
33482707,Ankur Orchards stop
33482887,Auda Garden stop
45351269,Ankur Orchards stop
45351270,Ankur Orchards stop
45236761,Ayana Complex stop
45236762,Ayana Complex stop
33482718,Ankur Orchards stop
33482723,Ambli Road Station
33482187,Ambli Gam stop
33482888,Auda Garden stop
45351234,Bebiloan Club stop
46422926,Bagwat Vidhyapeeth stop
33482706,Ayodhya Township stop
45351231,Bhadaj Circle (S.P.Ring Road) stop
45351230,Bhadaj Circle (S.P.Ring Road) stop
45148444,B.S.N.L.Office stop
33482719,Ayodhya Township stop
45148445,B.S.N.L.Office stop
33482865,Bhadaj Gam stop
45327789,Bhathiji Maharaj Nu Mandir stop
33482729,Bhaikaka Nagar stop
39830107,Bhadaj Circle stop
39830106,Bhadaj Circle stop
33481610,Bhavya Park BRTS stop
33482695,Bhaikaka Nagar stop
45327788,Bhathiji Maharaj Nu Mandir stop
33482874,Bhadaj Gam stop
39166169,Bopal Gam BRTS stop
33482186,Bopal Gam stop
33482703,Chimanlalno Bore stop
33483687,Chharodi Patiya stop
33482132,Brahmaninagar stop
33482721,Chimanlalno Bore stop
33482024,Bopal Gam stop
33483686,Chharodi Patiya stop
45142121,Dantali Industry Cross Road stop
45148446,Chitvan stop
45142123,Dantali Patiya stop
45142124,Dantali Patiya stop
33482137,Brahmaninagar stop
33481564,Bopal Approach BRTS stop
45142122,Dantali Industry Cross Road stop
33483680,Dev Nagar stop
45352615,Dhananjay Bunglows stop
45352616,Dhananjay Bunglows stop
33483681,Dev Nagar stop
108478048,Festival Residency stop
33483339,Ekta Farm stop
46230662,Doordarshan Kendra station
45351245,Fun Point stop
33483340,Ekta Farm stop
45351244,Fun Point stop
108478049,Festival Residency stop
45148442,Gala Gymkhana stop
33482891,Ganesh Corporate stop
108478031,Ganesh Genius stop
45148443,Gala Gymkhana stop
33482892,Ganesh Corporate stop
33482025,Ghuma Gam stop
39166171,Ghuma Gam BRTS stop
35827101,Godrej Garden City Phase 2 stop
33482185,Ghuma Gam stop
35348418,Godrej Garden City Phase 2 stop
44963205,Godrej Garden City Phase 2 stop
35827100,Godrej Garden City stop
45186194,Gota Cross Road stop
33483679,Gota Cross Road stop
33483237,Gota Cross Road stop
33483712,Gota Cross Road stop
108478012,Gota Gam Cross Road stop
108478013,Gota Gam Cross Road stop
45186195,Gota Cross Road stop
45142156,Gota Gam stop
33482125,Gota Highway Cross Road (Rt.137 Stand)
45142157,Gota Gam stop
33482140,Gota Highway Cross Road (Rt.137 Stand)
471048,Gota Highway Cross Road stop
45142107,Gota Housing (Gandhi Vasahat) stop
108478014,Gota Muktidham stop
471049,Gota Highway Cross Road stop
45142108,Gota Housing (Gandhi Vasahat) stop
108478015,Gota Muktidham stop
33482961,Gujarat High Court stop
33482899,Gulab Tower stop
33483674,Gurudwara stop
33483675,Gurudwara stop
33483330,Gulab Tower stop
108478030,Ganesh Genius stop
45351235,Bebiloan Club stop
45148447,Chitvan stop
33483682,Gyan Sadhana Ashram stop
45186190,Hebatpur Cross Road stop
33483683,Gyan Sadhana Ashram stop
45186191,Hebatpur Cross Road stop
45378916,Heema Farm stop
45236763,Hebatpur Cross Road stop
45236764,Hebatpur Cross Road stop
45378917,Heema Farm stop
108478020,I.C.B.Flora stop
39830110,Hetarth Party Plot stop
39830111,Hetarth Party Plot stop
45148437,Inductotherm stop
108478021,I.C.B.Flora stop
45148436,Inductotherm stop
44963200,Jagatpur Cross Road stop
108478032,Jagatpur Gam stop
108478033,Jagatpur Gam stop
45142118,Jain Tirthdham stop
45142117,Jain Tirthdham stop
45142113,Jarmaliya Talavdi stop
45378905,Jasmin-2 stop
45142114,Jarmaliya Talavdi stop
45378906,Jasmin-2 stop
45142109,Jilla Shikshan Talim Bhavan stop
45327786,Jognimata Nu Mandir stop
45142110,Jilla Shikshan Talim Bhavan stop
33482609,Judges Bungalows stop
33483470,Judges Bungalows stop
33482608,Judges Bungalows stop
45341580,Judges Bungalow stop
45341581,Judges Bungalows stop
45341579,Judges Bungalow stop
33483737,K.K Farm stop
45327787,Jognimata Nu Mandir stop
45378915,K.V.Farm stop
33483738,K.K Farm stop
45378914,K.V.Farm stop
33482131,Karnavati Eye Hospital stop
45378909,Khodiyar Cross Road stop
45378910,Khodiyar Cross Road stop
33482136,Karnavati Eye Hospital stop
45378911,Khodiyar Gam stop
45184013,Adarsh School stop
45184014,Adarsh School stop
33483220,Adishwar Nagar stop
33483231,Adishwar Nagar stop
33483075,Ahmedabad Domestic Airport
33483095,Airport Circle
46011189,Ahmedabad Krushnanagar Bus Stand
33483096,Airport Circle
45135997,Akhand Jyoti Foundation stop
33483142,Ambawadi Police Station
45135998,Akhand Jyoti Foundation stop
33483143,Ambawadi Police Station
143284596,Arjun Complex stop
33482521,Ashish Nagar stop
767586593,Arjun Complex stop
45341551,Ashtamangal Residency stop
45341552,Ashtamangal Residency stop
33481991,Baliya Limbdi stop
33482522,Ashish Nagar stop
33483445,Baliya Limbdi stop
33483719,Baliya Limbdi stop
33482270,Bethak (Naroda) stop
33481839,Bansidhar Mills stop
33482272,Bansidhar Mills stop
33481843,Bethak (Naroda) stop
33481919,Bhadreshwar stop
33483080,Bhadreshwar stop
33482282,Bhadreshwar stop
33483091,Bhadreshwar stop
45184017,Bhagwati School stop
33483755,Bungalow (Naroda Road) stop
33483101,Bhargav Society stop
45378873,Bhavani Chowk stop
33482811,Bungalow (Naroda Road) stop
39862181,Bhilvas stop
33483104,Bhargav Society stop
33481917,Camp Sadar Bazar stop
33483094,Camp Hanuman stop
33482285,Camp Sadar Bazar stop
45136005,Central Workshop stop
33482291,Cancer Hospital stop
45136004,Central Workshop stop
33482241,Circuit House stop
33481910,Civil Hospital Corner stop
143284593,Chamundani Chali stop
33481911,Cancer Hospital stop
33481992,Circuit House stop
33482244,Civil Hospital Corner stop
45394292,Devi Theatre stop
45394291,Devi Theatre stop
33481635,Dhanush Dhari Mandir BRTS stop
46434917,Divya Jivan Satsang stop
46434918,Divya Jivan Satsang stop
33483068,Dufnala (Shahibagh) stop
33482211,Civil Hospital stop
33482242,Dufnala stop
33483048,Dufnala stop
