route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
52-SH,,AMTS 52-SH Bus,,Thaltej Gam,Lal Darwaja,29,25,everyday
52/2,,AMTS 52/2 Bus,,Sattadhar Society,Maninagar,57,49,everyday
56,,AMTS 56 Bus,,Sitarambapa Chowk (Gopal Chowk),Iskcon Mandir,80,73,everyday
56,,AMTS 56 Bus,,Vijay Chowk,Sitarambapa Chowk (Gopal Chowk),18,16,everyday
56/1,,AMTS 56/1 Bus,,Sardar Party Plot (S.P.Ring Road),Gujarat University,69,66,everyday
58,,AMTS 58 Bus,,Thaltej Gam,New Naroda,99,81,everyday
58,,AMTS 58 Bus,,Thaltej Gam,Kalupur Terminus,62,51,everyday
60-SH,,AMTS 60-SH Bus,,Lal Darwaja,Bopal Gam,47,47,everyday
61,,AMTS 61 Bus,,Maninagar Terminal,Gujarat High Court,55,53,everyday
63/1,,AMTS 63/1 Bus,,,,,,
63,,AMTS 63 Bus,,Lal Darwaja,Gujarat High Court,38,34,everyday
63/1,,AMTS 63/1 Bus,,Lilapur Gam,Lal Darwaja,75,82,everyday
63/1,,AMTS 63/1 Bus,,Vadaj,Lilapur Gam,52,59,everyday
64,,AMTS 64 Bus,,Lal Darwaja,Gujarat High Court,38,33,everyday
64/2,,AMTS 64/2 Bus,,Sattadhar Society,Lal Darwaja,31,27,everyday
64/1,,AMTS 64/1 Bus,,Lal Darwaja,Jaspur Gam,62,64,everyday
64/3,,AMTS 64/3 Bus,,Lal Darwaja,Chandlodiya Railway Station (Wagheshwari Society),31,26,everyday
65,,AMTS 65 Bus,,Sola Bhagwat Vidyapith,Lal Darwaja,42,41,everyday
65/1,,AMTS 65/1 Bus,,Mangalmurti Apartment,Lal Darwaja,27,23,everyday
65/2,,AMTS 65/2 Bus,,Lal Darwaja,Arvind Polycoat (Khatraj),53,65,everyday
65/3,,AMTS 65/3 Bus,,Santej Gam,Lal Darwaja,47,51,everyday
66,,AMTS 66 Bus,,Sattadhar Society,Kalupur,26,23,everyday
65/3,,AMTS 65/3 Bus,,Sola Police Chowky,Lal Darwaja,32,29,everyday
66,,AMTS 66 Bus,,Shelaj Gam,Kalupur,45,49,everyday
66/1,,AMTS 66/1 Bus,,Shelaj Gam,Kalupur,47,45,everyday
66/1,,AMTS 66/1 Bus,,Memnagar,Kalupur,21,20,everyday
66/3-SH,,AMTS 66/3-SH Bus,,Naroda Terminus,Moti Bhoyan Chokdi,76,98,everyday
67/1-SH,,AMTS 67/1-SH Bus,,Sattadhar Society,Kalupur,30,29,everyday
66/4,,AMTS 66/4 Bus,,Naroda Terminus,Arvind Polycoat (Khatraj),70,90,everyday
69,,AMTS 69 Bus,,,,,,
69,,AMTS 69 Bus,,S.P.Ring Road (Odhav Gidc),Kalupur,30,26,everyday
69-SH,,AMTS 69-SH Bus,,,,,,
69,,AMTS 69 Bus,,,,,,
70/1,,AMTS 70/1 Bus,,Meghaninagar,Gujarat High Court,40,46,everyday
70/2,,AMTS 70/2 Bus,,Vadaj,Kalol Police Chowki under Bridge,76,88,everyday
70,,AMTS 70 Bus,,Naroda Terminus,Chandlodiya Railway Station (Wagheshwari Society),65,56,everyday
71/1,,AMTS 71/1 Bus,,Moti Bhoyan Chokdi,Lal Darwaja,66,72,everyday
71/1,,AMTS 71/1 Bus,,Nava Vadaj,Lal Darwaja,28,20,everyday
71/1,,AMTS 71/1 Bus,,Vrundavan Park (Vamaj),Lal Darwaja,75,85,everyday
71/1,,AMTS 71/1 Bus,,Nava Vadaj,Vadaj,8,5,everyday
71/1,,AMTS 71/1 Bus,,Vadaj,Moti Bhoyan Chokdi,46,55,everyday
71/1,,AMTS 71/1 Bus,,Vrundavan Park (Vamaj),Vadaj,56,75,everyday
72,,AMTS 72 Bus,,Lal Darwaja,Godrej Garden City,42,39,everyday
72,,AMTS 72 Bus,,Sahyadri Bungalow,Lal Darwaja,30,22,everyday
72,,AMTS 72 Bus,,Sahyadri Bungalow,Godrej Garden City,69,63,everyday
72,,AMTS 72 Bus,,Vadaj,Godrej Garden City,30,26,everyday
